id;denumire;producator;model;latitudine;longitudine;statut;tip_cost;descriere_cost
1;Music;Centralized Aruban Guilder Ameliorated;reboot eco-centric;56;-116;INDISPONIBIL;NECUNOSCUT;Bedfordshire benchmark
2;optical Generic;West Virginia Health Borders;hard drive;62;96;NECUNOSCUT;GRATUIT;asymmetric
3;neural payment;hacking;card Computers Markets;-56;110;DISPONIBIL;GRATUIT;collaboration Internal
4;Forest Unbranded Steel Computer;Strategist Fresh;synthesizing Small quantify;33;88;DISPONIBIL;NECUNOSCUT;alliance
5;reboot Mouse Skyway;Rustic Metal Shoes Soft Industrial;Cheese De-engineered Incredible;27;-38;DISPONIBIL;PLATA;overriding Liberian Dollar
6;Creek relationships digital;turquoise District;port payment;-32;107;NECUNOSCUT;GRATUIT;Savings Account mission-critical cultivate
7;array Avon;back up;Small Fresh Hat enterprise;-61;6;OCUPAT;GRATUIT;Afghanistan calculate
8;Buckinghamshire Wells;transmit deposit Vatu;Credit Card Account Savings Account;55;-78;INDISPONIBIL;GRATUIT;TCP Security
9;mission-critical generate index;SSL;Directives e-business South Dakota;67;-36;DISPONIBIL;GRATUIT;generating silver
10;Oklahoma hack transitional;California;attitude strategic Oklahoma;-12;-126;DISPONIBIL;PLATA;Practical Granite Towels incentivize Ameliorated
