id;marca;model;an_fabricatie;culoare;descriere;conector
1;Credit Card Account;Qatari Rial bleeding-edge support;1992;one-to-one deposit vertical;Legacy;TYPE4
2;Handmade Granite Cheese withdrawal bus;Unbranded Soft Car Shirt gold;1991;auxiliary Seamless overriding;PNG Avon;TYPE2
3;Manager mobile mission-critical;Minnesota parse;2002;SQL e-commerce optimal;blue bluetooth;TYPE2
4;Berkshire SMTP;Licensed Fresh Keyboard;2020;Home Loan Account Buckinghamshire;Car intuitive;TYPE1
5;Virginia indexing;Graphic Interface Manat Ergonomic Frozen Keyboard;1997;Soft explicit;Lempira Music e-enable;TYPE3
6;payment SDR digital;encryption Incredible Cotton Hat optical;2009;Arizona;Centers Handcrafted Cotton Keyboard;TYPE4
7;Direct holistic;Licensed Plastic Shoes Heard Island and McDonald I;1998;HTTP;Technician deliverables Bedfordshire;TYPE3
8;Group PNG;compress;2014;Games Bedfordshire blue;Moldovan Leu Bedfordshire;TYPE4
9;Towels seize;toolset;2013;South Africa superstructure Home Loan Account;Balanced grow Buckinghamshire;TYPE4
10;Assimilated Tasty Fresh Fish models;Ergonomic reboot;2002;withdrawal incubate Integration;payment Officer;TYPE1
