id;denumire_conector;conector;descriere_conector;disponibilitate;putere
1;Metrics;TYPE1;Metrics Towels;DISPONIBIL;981
2;Organic;TYPE2;Western Sahara SDR Fantastic Fresh Salad;OCUPAT;667
3;Chair Incredible;TYPE2;Salad;OCUPAT;506
4;Health parallelism invoice;TYPE2;Kentucky Profit-focused function;DISPONIBIL;624
5;payment;TYPE2;California Gorgeous;DISPONIBIL;1
6;Soft connect;TYPE3;frictionless Qatari Rial Rapid;OCUPAT;600
7;Canyon Walks protocol;TYPE4;connecting multi-byte gold;DISPONIBIL;546
8;Zloty;TYPE2;HTTP;NECUNOSCUT;885
9;Metal Versatile;TYPE4;exploit infrastructures Soap;OCUPAT;820
10;Proactive;TYPE1;Savings Account e-tailers Yemeni Rial;DISPONIBIL;915
