id;denumire;descriere;latitudine;longitudine;tip_acces
1;Idaho Colorado;navigate Saudi Riyal Arizona;-85;-101;PRIVAT
2;HTTP best-of-breed secondary;Ball driver Outdoors;65;-100;PUBLIC
3;salmon;Agent deposit Soft;-15;-28;PRIVAT
4;Tools transition;Practical Norwegian Krone AI;62;83;PUBLIC
5;silver Cambridgeshire;SAS;-23;22;PUBLIC
6;Montana online Concrete;Small Soft Bacon;47;-76;PRIVAT
7;open-source;Serbia partnerships Plastic;51;125;PRIVAT
8;emulation Robust;infrastructures Oklahoma Pants;-48;78;PUBLIC
9;Rial Omani Generic Metal Pants initiative;Aruba Future;38;-46;PUBLIC
10;strategic Technician;Clothing seamless alarm;-90;-35;PRIVAT
